name,race,gender,text
Bibi,asian,F,TOEFL
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,TOEFL
Bibi,asian,F,TOEFL
Bibi,asian,F,SAT
Bibi,asian,F,TOEFL
Bibi,asian,F,ACT
Bibi,asian,F, TOEFL
Bibi,asian,F,SAT
Bibi,asian,F,PSAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,ACT
Bibi,asian,F,GED
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,LSAT
Bibi,asian,F,SAT
Bibi,asian,F,TOEFL
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,MCAT
Bibi,asian,F,LSAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT.
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,SAT
Bibi,asian,F,LSAT
Bibi,asian,F,SAT
Min,asian,F,GRE
Min,asian,F,GED
Min,asian,F,SAT
Min,asian,F,PSAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,GMAT
Min,asian,F,PSAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,GRE
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,LSAT
Min,asian,F,GRE
Min,asian,F,GRE
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,ACT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,ACT
Min,asian,F,SAT
Min,asian,F,ACT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,TOEFL
Min,asian,F,SAT
Min,asian,F,S.A.T.
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,LSAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,SAT
Min,asian,F,PSAT
Min,asian,F,SAT
Tia,asian,F,GCSE
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,MCAT
Tia,asian,F,SAT
Tia,asian,F,ACT
Tia,asian,F,SAT
Tia,asian,F,ACT
Tia,asian,F,ACT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,TOEFL
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,LSAT
Tia,asian,F,ACT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,ACT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,LSAT
Tia,asian,F,LSAT
Tia,asian,F,SAT
Tia,asian,F,TOEFL
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,TOEFL
Tia,asian,F,TOEFL
Tia,asian,F,LSAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,TOEFL
Tia,asian,F,SAT
Tia,asian,F,MCAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,LSAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
Tia,asian,F,SAT
