name,race,gender,text
Bibi,asian,F,elephant
Bibi,asian,F,giraffe
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,dog
Bibi,asian,F,hippopotamus
Bibi,asian,F,gorilla
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,elephant
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippo
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippo
Bibi,asian,F,gorilla
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippo
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippo
Bibi,asian,F,hippopotamus
Bibi,asian,F,dog
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,cheetah
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Bibi,asian,F,hippopotamus
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,cat
Min,asian,F,horse
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,horse
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,cat
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Min,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,cat
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,cat
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,horse
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,dog
Tia,asian,F,cat
Tia,asian,F,dog
Tia,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,cat
Lu,asian,F,cat
Lu,asian,F,horse
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,cat
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,cat
Lu,asian,F,dog
Lu,asian,F,horse
Lu,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,horse
Lu,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,horse
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,cat
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,cat
Lu,asian,F,dog
Lu,asian,F,dog
Lu,asian,F,horse
Lu,asian,F,dog
Nikita,asian,F,dog
Nikita,asian,F,horse
Nikita,asian,F,dog
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,horse
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,horse
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,cat
Nikita,asian,F,horse
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,dog
Nikita,asian,F,horse
Nikita,asian,F,cat
Nikita,asian,F,dog
Nikita,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,cat
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,cat
Hong,asian,F,cat
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,cat
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,horse
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,horse
Hong,asian,F,cat
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
Hong,asian,F,dog
